+---------------------------------+--------------+----------+---------+-----------------------------------------------------------+------------------------------------------------------------+
|              Device             |      OS      |  Vendor  |   Type  |                          Chipset                          |                       CLI Invocation                       |
+---------------------------------+--------------+----------+---------+-----------------------------------------------------------+------------------------------------------------------------+
|     Google Pixel 3 (Family)     |  Android 10  |  Google  |  Phone  |              qualcomm-snapdragon-845, sdm845              |     --device "Google Pixel 3 (Family)" --device-os 10      |
|          Google Pixel 3         |  Android 10  |  Google  |  Phone  |              qualcomm-snapdragon-845, sdm845              |          --device "Google Pixel 3" --device-os 10          |
|         Google Pixel 3a         |  Android 10  |  Google  |  Phone  |              qualcomm-snapdragon-670, sdm670              |         --device "Google Pixel 3a" --device-os 10          |
|        Google Pixel 3 XL        |  Android 10  |  Google  |  Phone  |              qualcomm-snapdragon-845, sdm845              |        --device "Google Pixel 3 XL" --device-os 10         |
|          Google Pixel 4         |  Android 10  |  Google  |  Phone  |              qualcomm-snapdragon-855, sm8150              |          --device "Google Pixel 4" --device-os 10          |
|          Google Pixel 4         |  Android 11  |  Google  |  Phone  |              qualcomm-snapdragon-855, sm8150              |          --device "Google Pixel 4" --device-os 11          |
|          Google Pixel 5         |  Android 11  |  Google  |  Phone  |              qualcomm-snapdragon-765g, sm7250             |          --device "Google Pixel 5" --device-os 11          |
|      Samsung Galaxy Tab S7      |  Android 11  | Samsung  |  Tablet |            qualcomm-snapdragon-865+, sm8250-ab            |      --device "Samsung Galaxy Tab S7" --device-os 11       |
|  Samsung Galaxy Note 20 (Intl)  |  Android 11  | Samsung  |  Phone  |                     samsung-exynos-990                    |  --device "Samsung Galaxy Note 20 (Intl)" --device-os 11   |
|   Samsung Galaxy S21 (Family)   |  Android 11  | Samsung  |  Phone  |              qualcomm-snapdragon-888, sm8350              |   --device "Samsung Galaxy S21 (Family)" --device-os 11    |
|        Samsung Galaxy S21       |  Android 11  | Samsung  |  Phone  |              qualcomm-snapdragon-888, sm8350              |        --device "Samsung Galaxy S21" --device-os 11        |
|     Samsung Galaxy S21 Ultra    |  Android 11  | Samsung  |  Phone  |              qualcomm-snapdragon-888, sm8350              |     --device "Samsung Galaxy S21 Ultra" --device-os 11     |
|     Xiaomi Redmi Note 10 5G     |  Android 11  | Oneplus  |  Phone  |             qualcomm-snapdragon-678, sm6150-ac            |     --device "Xiaomi Redmi Note 10 5G" --device-os 11      |
|        Google Pixel 3a XL       |  Android 12  |  Google  |  Phone  |              qualcomm-snapdragon-670, sdm670              |        --device "Google Pixel 3a XL" --device-os 12        |
|     Google Pixel 5 (Family)     |  Android 12  |  Google  |  Phone  |              qualcomm-snapdragon-765g, sm7250             |     --device "Google Pixel 5 (Family)" --device-os 12      |
|          Google Pixel 5         |  Android 12  |  Google  |  Phone  |              qualcomm-snapdragon-765g, sm7250             |          --device "Google Pixel 5" --device-os 12          |
